"Species","Body_mass_g_scaled","Scavenger","Vertebrates","Insects","Worms","Crustaceans","Molluscs","Fish","Seeds","Fruits","Plants","Nectar","Sap","Foraging_technique","Foraging_stra_terr_aqua","Foraging_stra_betw_1_2","Foraging_stra_above_2m","Foraging_stra_air","Social_Foraging","Diurnal","Crepuscular","Nocturnal","Seasonality","Irruptive","Duration_scaled","Mean_frequency_scaled","Entropy_scaled"
"Calidris_mauri","-0.455","0","0","1","1","0","1","0","0","0","0","0","0","Prober","1","0","0","0","Aggregation","1","0","0","T","0","0.381","-0.24","0.843"
"Calidris_melanotos","-0.392","0","0","1","1","0","1","0","0","0","0","1","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","T","0","-0.492","-0.255","-0.366"
"Calidris_minutilla","-0.464","0","0","1","1","0","0","0","0","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.463","-0.82","0.159"
"Callipepla_gambelii","-0.223","0","0","1","0","0","0","0","1","0","1","0","0","Ground gleaner","1","0","0","0","Bonded","1","1","0","PR","0","-0.498","-0.944","0.631"
"Callipepla_squamata","-0.196","0","0","1","0","0","0","0","1","0","1","0","0","Ground gleaner","1","0","0","0","Bonded","1","1","0","PR","0","-0.285","-0.989","-1.415"
"Campylorhynchus_brunneicapillus","-0.437","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","0","1","0","0","Pair","1","0","0","PR","0","1.715","-0.968","0.017"
"Cardellina_pusilla","-0.494","0","0","1","0","0","0","0","0","1","0","0","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","T","0","-0.419","0.957","0.888"
"Cardinalis_cardinalis","-0.432","0","0","0","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Bonded","1","1","0","PR","0","1.876","-0.125","1.095"
"Cardinalis_sinuatus","-0.445","0","0","0","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","PR","0","0.873","-0.792","-0.426"
"Cathartes_aura","1.991","1","0","0","0","0","0","0","0","0","0","0","0","Ground scavenger","1","0","0","0","Solitary","1","0","0","SR","0","-0.055","-0.05","1.39"
"Catharus_guttatus","-0.453","0","0","1","0","0","0","0","0","1","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","WV","0","-0.158","-0.404","0.089"
"Catharus_ustulatus","-0.452","0","0","1","0","0","0","0","0","1","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","T","0","-0.322","-0.198","0.163"
"Catherpes_mexicanus","-0.483","0","0","1","0","0","0","0","0","0","0","0","0","Ground gleaner","1","0","0","0","Pair","1","0","0","PR","0","0.592","-0.031","0.937"
"Certhia_americana","-0.491","0","0","1","0","0","0","0","1","0","0","0","0","Bark gleaner","0","0","1","0","Solitary","1","0","0","WV","0","-0.214","1.954","-1.048"
"Charadrius_vociferus","-0.329","0","0","1","1","1","1","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Pair","1","0","1","PR","0","-0.367","0.154","-2.441"
"Anser_caerulescens","3.889","0","0","0","0","0","0","0","1","0","1","0","0","Surface dipper","1","0","0","0","Aggregation","1","0","0","WV","0","-0.443","-1.203","-0.683"
"Anser_rossii","2.358","0","0","0","0","0","0","0","1","0","1","0","0","Surface dipper","1","0","0","0","Aggregation","1","0","0","WV","0","-0.461","-1.436","-0.715"
"Chondestes_grammacus","-0.455","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Bonded","1","0","0","T","0","1.243","0.84","0.709"
"Chordeiles_acutipennis","-0.418","0","0","1","0","0","0","0","0","0","0","0","0","Air screener","0","0","0","1","Aggregation","0","1","1","SR","0","0.324","-1.619","-0.743"
"Chordeiles_minor","-0.367","0","0","1","0","0","0","0","0","0","0","0","0","Air screener","0","0","0","1","Aggregation","0","1","1","T","0","-0.405","0.581","0.322"
"Circus_hudsonius","0.394","1","1","0","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Solitary","1","0","0","WV","0","-0.309","0.481","0.053"
"Cistothorus_palustris","-0.489","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","1","0","0","Bonded","1","0","0","WV","0","-0.348","1.407","1.36"
"Colaptes_auratus","-0.257","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","WV","0","-0.416","-0.131","-1.439"
"Columba_livia","0.088","0","0","0","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","PR","0","-0.238","-1.378","-1.731"
"Columbina_inca","-0.422","0","0","0","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","PR","0","-0.167","-0.572","0.515"
"Contopus_cooperi","-0.449","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","0","1","0","Solitary","1","0","0","T","0","-0.074","-0.528","-0.516"
"Contopus_sordidulus","-0.483","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","T","0","-0.192","0.202","-1.415"
"Corvus_brachyrhynchos","0.151","1","1","1","0","0","0","0","1","1","0","0","0","Ground forager","1","0","0","0","Aggregation","1","0","0","WV","0","0.708","-0.65","0.586"
"Corvus_cryptoleucus","0.388","1","1","1","0","0","0","0","1","1","0","0","0","Ground forager","1","0","0","0","Aggregation","1","0","0","PR","0","-0.317","-1.3","-0.739"
"Cyanocitta_stelleri","-0.282","0","0","1","0","0","0","0","1","1","0","0","0","Ground forager","1","0","0","0","Bonded","1","0","0","WV","1","0.111","-0.247","0.87"
"Egretta_thula","0.142","0","0","1","0","1","0","1","0","0","0","0","0","Stalker and striker","1","0","0","0","Aggregation","1","0","0","PR","0","-0.182","-1.189","0.188"
"Elanus_leucurus","0.099","0","1","0","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Solitary","1","0","0","WV","0","2.359","-0.045","-0.138"
"Empidonax_hammondii","-0.487","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","T","0","-0.528","0.095","-0.841"
"Empidonax_minimus","-0.488","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","T","0","-0.542","0.268","0.427"
"Empidonax_oberholseri","-0.487","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","T","0","-0.442","0.402","-0.732"
"Empidonax_occidentalis","-0.485","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","T","0","-0.389","-0.093","-1.247"
"Empidonax_traillii","-0.481","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","T","0","-0.358","0.428","0.527"
"Empidonax_wrightii","-0.484","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","T","0","-0.417","0.193","-0.288"
"Euphagus_cyanocephalus","-0.404","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.538","-0.158","1.507"
"Falco_columbarius","-0.125","0","1","1","0","0","0","0","0","0","0","0","0","Air hawker","0","1","0","0","Solitary","1","0","0","WV","0","-0.102","0.121","0.025"
"Falco_mexicanus","1.08","0","1","0","0","0","0","0","0","0","0","0","0","Air hawker","0","1","0","0","Solitary","1","0","0","WV","0","-0.254","-0.027","0.1"
"Falco_peregrinus","1.169","0","1","0","0","0","0","0","0","0","0","0","0","Air hawker","0","1","0","0","Solitary","1","0","0","T","0","-0.32","-0.43","0.667"
"Falco_sparverius","-0.296","0","1","1","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Bonded","1","0","0","PR","0","-0.456","0.269","-0.499"
"Fulica_americana","0.472","0","0","1","0","0","0","0","1","0","1","0","0","Surface dipper","1","0","0","0","Solitary","1","0","0","PR","0","-0.535","-0.57","1.737"
"Gallinago_delicata","-0.303","0","0","1","1","0","0","0","1","0","0","0","0","Prober","1","0","0","0","Bonded","1","0","0","WV","0","0.488","-0.729","-0.183"
"Gallinula_galeata","0.104","0","0","1","0","0","0","0","1","0","1","0","0","Surface dipper","1","0","0","0","Solitary","1","0","0","PR","0","-0.27","-1.101","-0.987"
"Geococcyx_californianus","0.151","0","1","1","0","0","0","0","0","0","0","0","0","Ground chaser","1","0","0","0","Solitary","1","0","0","PR","0","1.555","-1.486","-1.17"
"Geothlypis_tolmiei","-0.487","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","1","0","0","Solitary","1","0","0","T","0","-0.335","1.027","-0.918"
"Geothlypis_trichas","-0.489","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","1","0","0","Bonded","1","0","0","SR","0","-0.267","0.154","0.104"
"Haemorhous_mexicanus","-0.468","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","PR","0","1.442","0.174","0.659"
"Himantopus_mexicanus","-0.209","0","0","1","0","0","0","1","0","0","1","0","0","Prober","1","0","0","0","Bonded","1","0","1","PR","0","-0.543","-0.075","-0.283"
"Hirundo_rustica","-0.478","0","0","1","0","0","0","0","0","0","0","0","0","Air screener","0","0","0","1","Aggregation","1","0","0","SR","0","0.016","-0.124","0.069"
"Icteria_virens","-0.461","0","0","1","0","0","0","0","0","1","0","0","0","Foliage gleaner","0","1","0","0","Solitary","1","0","0","SR","0","-0.399","0.312","0.782"
"Icterus_bullockii","-0.439","0","0","1","0","0","0","0","0","1","0","1","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","SR","0","-0.181","-0.616","-1.108"
"Icterus_parisorum","-0.44","0","0","1","0","0","0","0","0","1","0","1","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","SR","0","-0.11","-0.071","1.208"
"Ictinia_mississippiensis","0.038","0","0","1","0","0","0","0","0","0","0","0","0","Air hawker","0","0","0","1","Solitary","1","0","0","SR","0","0.04","0.959","1.312"
"Junco_hyemalis","-0.474","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.212","0.376","0.811"
"Lanius_ludovicianus","-0.422","0","1","1","0","0","0","0","0","0","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","PR","0","-0.292","0.015","0.179"
"Larus_delawarensis","0.317","0","0","1","1","1","1","1","0","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.493","-1.581","-1.536"
"Limnodromus_scolopaceus","-0.315","0","0","1","0","0","1","0","1","0","1","0","0","Prober","1","0","0","0","Bonded","1","0","1","WV","0","-0.503","-0.33","0.135"
"Lophodytes_cucullatus","0.682","0","0","1","0","1","1","1","0","0","0","0","0","Surface diver","1","0","0","0","Bonded","1","0","0","WV","0","-0.447","-1.018","0.053"
"Loxia_curvirostra","-0.442","0","0","0","0","0","0","0","1","0","0","0","0","Foliage gleaner","0","0","1","0","Bonded","1","0","0","WV","1","-0.364","-0.339","0.196"
"Megaceryle_alcyon","-0.247","0","0","0","0","0","0","1","0","0","0","0","0","Water plunger","1","0","0","0","Solitary","1","0","0","WV","0","-0.158","0.127","0.536"
"Melospiza_georgiana","-0.477","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.524","0.999","0.016"
"Melospiza_lincolnii","-0.476","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","WV","0","-0.409","1.025","-0.338"
"Melospiza_melodia","-0.471","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","WV","0","-0.093","0.528","0.693"
"Melozone_fusca","-0.428","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","PR","0","0.341","0.062","0.419"
"Mergus_merganser","1.645","0","0","1","0","1","1","1","0","0","0","0","0","Surface diver","1","0","0","0","Solitary","1","0","0","WV","0","-0.225","-1.05","0.198"
"Mimus_polyglottos","-0.421","0","0","1","0","0","0","0","0","1","0","0","0","Ground gleaner","1","0","0","0","Pair","1","0","0","PR","0","0.025","-0.203","-0.483"
"Mniotilta_varia","-0.486","0","0","1","0","0","0","0","0","0","0","0","0","Bark gleaner","0","0","1","0","Solitary","1","0","0","T","0","-0.224","1.619","0.81"
