"Species","Body_mass_g_scaled","Scavenger","Vertebrates","Insects","Worms","Crustaceans","Molluscs","Fish","Seeds","Fruits","Plants","Nectar","Sap","Foraging_technique","Foraging_stra_terr_aqua","Foraging_stra_betw_1_2","Foraging_stra_above_2m","Foraging_stra_air","Social_Foraging","Diurnal","Crepuscular","Nocturnal","Seasonality","Irruptive","Duration_scaled","Mean_frequency_scaled","Entropy_scaled"
"Podiceps_nigricollis","0.148","0","0","1","0","1","1","1","0","0","0","0","0","Surface diver","1","0","0","0","Aggregation","1","0","0","WV","0","-0.162","-0.335","0.774"
"Podilymbus_podiceps","0.12","0","0","1","0","1","1","1","0","0","0","0","0","Surface diver","1","0","0","0","Aggregation","1","0","0","PR","0","2.593","-0.547","1.605"
"Polioptila_caerulea","-0.495","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","1","0","0","Aggregation","1","0","0","WV","0","-0.408","1.461","0.785"
"Polioptila_melanura","-0.496","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","1","0","0","Pair","1","0","0","PR","0","0.24","0.03","0.458"
"Pooecetes_gramineus","-0.462","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","1.508","0.241","0.732"
"Porzana_carolina","-0.375","0","0","1","0","1","1","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","WV","0","0.272","-0.645","-0.2"
"Pyrocephalus_rubinus","-0.48","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","WV","0","-0.49","0.642","-0.668"
"Quiscalus_mexicanus","-0.303","0","0","1","0","0","0","0","1","1","0","0","0","Ground forager","1","0","0","0","Aggregation","1","0","0","PR","0","-0.42","-0.027","0.753"
"Recurvirostra_americana","0.022","0","0","1","1","1","1","0","0","0","0","0","0","Prober","1","0","0","0","Aggregation","1","0","0","T","0","-0.51","-1.011","0.47"
"Regulus_calendula","-0.495","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","0","1","0","Aggregation","1","0","0","WV","0","-0.515","0.98","1.666"
"Riparia_riparia","-0.481","0","0","1","0","0","0","0","0","0","0","0","0","Air screener","0","0","0","1","Aggregation","1","0","0","T","0","-0.376","0.309","0.877"
"Salpinctes_obsoletus","-0.477","0","0","1","0","0","0","0","0","0","0","0","0","Ground gleaner","1","0","0","0","Pair","1","0","0","PR","0","0.267","1.061","0.477"
"Sayornis_nigricans","-0.474","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","PR","0","-0.281","0.373","-0.056"
"Sayornis_phoebe","-0.471","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","WV","0","-0.46","0.517","-0.269"
"Sayornis_saya","-0.469","0","0","1","0","0","0","0","0","0","0","0","0","Air sallier","0","1","0","0","Solitary","1","0","0","PR","0","-0.096","-0.239","-0.703"
"Selasphorus_platycercus","-0.499","0","0","1","0","0","0","0","0","0","0","1","0","Hover and gleaner","0","1","0","0","Solitary","1","0","0","T","0","-0.289","0.965","-0.754"
"Selasphorus_rufus","-0.499","0","0","1","0","0","0","0","0","0","0","1","0","Hover and gleaner","0","1","0","0","Solitary","1","0","0","T","0","-0.49","2.4","1.203"
"Setophaga_citrina","-0.487","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","1","0","0","Solitary","1","0","0","T","0","-0.523","1.29","-0.224"
"Setophaga_coronata","-0.485","0","0","1","0","0","0","0","0","1","0","0","0","Foliage gleaner","0","0","1","0","Aggregation","1","0","0","WV","0","-0.52","0.689","0.944"
"Setophaga_graciae","-0.491","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","T","0","-0.523","1.553","0.292"
"Setophaga_nigrescens","-0.49","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","0","1","0","Aggregation","1","0","0","T","0","-0.515","1.333","1.099"
"Setophaga_occidentalis","-0.487","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","T","0","-0.426","2.008","0.638"
"Setophaga_petechia","-0.488","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","0","1","0","Aggregation","1","0","0","T","0","-0.511","0.032","0.01"
"Setophaga_pinus","-0.485","0","0","1","0","0","0","0","1","1","0","0","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","WV","0","-0.554","0.098","-2.092"
"Setophaga_ruticilla","-0.491","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","T","0","-0.491","1.615","0.28"
"Setophaga_townsendi","-0.49","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","0","1","0","Aggregation","1","0","0","T","0","-0.423","1.666","0.299"
"Sialia_currucoides","-0.454","0","0","1","0","0","0","0","1","1","0","0","0","Foliage gleaner","0","1","0","0","Aggregation","1","0","0","WV","1","-0.519","-0.98","-2.067"
"Sialia_mexicana","-0.458","0","0","1","0","0","0","0","1","1","0","0","0","Foliage gleaner","0","1","0","0","Aggregation","1","0","0","WV","1","-0.524","-0.6","-1.074"
"Sialia_sialis","-0.457","0","0","1","0","0","0","0","1","1","0","0","0","Foliage gleaner","0","1","0","0","Aggregation","1","0","0","WV","1","-0.461","0.293","1.133"
"Sitta_canadensis","-0.488","0","0","1","0","0","0","0","1","0","0","0","0","Bark gleaner","0","0","1","0","Aggregation","1","0","0","WV","1","-0.426","-0.541","-2.056"
"Sitta_carolinensis","-0.469","0","0","1","0","0","0","0","1","0","0","0","0","Bark gleaner","0","0","1","0","Aggregation","1","0","0","WV","0","-0.469","-0.78","-1.27"
"Sphyrapicus_nuchalis","-0.425","0","0","1","0","0","0","0","0","0","0","0","1","Bark gleaner","0","0","1","0","Solitary","1","0","0","WV","0","-0.301","0.171","1.124"
"Sphyrapicus_thyroideus","-0.422","0","0","1","0","0","0","0","0","0","0","0","1","Bark gleaner","0","0","1","0","Solitary","1","0","0","WV","0","0.313","-0.953","0.176"
"Sphyrapicus_varius","-0.418","0","0","1","0","0","0","0","0","0","0","0","1","Bark gleaner","0","0","1","0","Solitary","1","0","0","WV","0","3.791","-0.387","1.298"
"Spinus_pinus","-0.483","0","0","1","0","0","0","0","1","1","0","0","0","Foliage gleaner","0","1","0","0","Aggregation","1","0","0","WV","1","-0.286","0.968","0.213"
"Spinus_psaltria","-0.489","0","0","1","0","0","0","0","1","1","0","0","0","Foliage gleaner","0","1","0","0","Aggregation","1","0","0","PR","0","-0.122","1.034","0.063"
"Spinus_tristis","-0.484","0","0","1","0","0","0","0","1","1","0","0","0","Foliage gleaner","0","1","0","0","Aggregation","1","0","0","WV","0","-0.051","0.742","0.757"
"Spizella_atrogularis","-0.486","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.51","1.365","1.121"
"Spizella_breweri","-0.486","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.476","3.349","-0.766"
"Spizella_pallida","-0.486","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","T","0","-0.525","2.752","-0.699"
"Spizella_passerina","-0.484","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.534","3.263","0.372"
"Stelgidopteryx_serripennis","-0.478","0","0","1","0","0","0","0","0","0","0","0","0","Air screener","0","0","0","1","Aggregation","1","0","0","SR","0","-0.479","0.374","0.766"
"Streptopelia_decaocto","-0.251","0","0","0","0","0","0","0","1","1","1","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","PR","0","-0.128","-1.915","-3.72"
"Sturnella_magna","-0.373","0","0","1","0","0","0","0","0","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.492","0.232","-1.161"
"Sturnella_neglecta","-0.349","0","0","1","0","0","0","0","0","1","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","PR","0","0.665","-0.775","-0.656"
"Sturnus_vulgaris","-0.358","0","0","1","0","0","0","0","1","1","0","0","0","Ground forager","1","0","0","0","Bonded","1","0","0","PR","0","-0.317","1.092","0.074"
"Tachycineta_bicolor","-0.468","0","0","1","0","0","0","0","0","0","0","0","0","Air screener","0","0","0","1","Aggregation","1","0","0","T","0","-0.476","0.346","0.342"
"Tachycineta_thalassina","-0.481","0","0","1","0","0","0","0","0","0","0","0","0","Air screener","0","0","0","1","Aggregation","1","0","0","SR","0","-0.527","0.454","0.434"
"Thryomanes_bewickii","-0.488","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","1","0","0","Aggregation","1","0","0","WV","0","-0.062","-0.149","-0.09"
"Toxostoma_crissale","-0.396","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","PR","0","1.084","-0.31","1.11"
"Toxostoma_curvirostre","-0.357","0","0","1","0","0","0","0","0","1","1","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","PR","0","1.519","-0.687","0.609"
"Tringa_flavipes","-0.37","0","0","1","1","1","1","1","0","0","0","0","0","Prober","1","0","0","0","Aggregation","1","0","1","T","0","2.136","-0.07","1.403"
"Tringa_melanoleuca","-0.207","0","0","1","1","1","1","1","0","0","0","0","0","Prober","1","0","0","0","Aggregation","1","0","1","WV","0","-0.266","-0.143","0.701"
"Tringa_solitaria","-0.421","0","0","1","1","1","1","0","0","0","0","0","0","Prober","1","0","0","0","Solitary","1","0","1","T","0","0.549","-0.342","1.288"
"Troglodytes_aedon","-0.486","0","0","1","0","0","0","0","0","0","0","0","0","Foliage gleaner","0","1","0","0","Aggregation","1","0","0","WV","0","-0.38","0.566","0.375"
"Turdus_migratorius","-0.368","0","0","1","0","0","0","0","0","1","0","0","0","Ground gleaner","1","0","0","0","Bonded","1","0","0","PR","0","2.601","-0.592","-0.071"
"Tyrannus_melancholicus","-0.44","0","0","1","0","0","0","0","0","1","0","0","0","Air sallier","0","0","1","0","Solitary","1","0","0","T","0","0.011","0.49","-0.218"
"Tyrannus_verticalis","-0.436","0","0","1","0","0","0","0","0","1","0","0","0","Air sallier","0","0","1","0","Solitary","1","0","0","SR","0","-0.518","-0.109","0.018"
"Tyto_alba","0.141","0","0","1","0","0","0","0","0","0","0","0","0","Low patrol","1","0","0","0","Solitary","0","0","1","PR","0","-0.543","0.822","1.164"
"Vireo_bellii","-0.491","0","0","1","0","0","0","0","0","0","1","0","0","Foliage gleaner","0","1","0","0","Aggregation","1","0","0","SR","0","0.188","0.389","0.837"
"Vireo_cassinii","-0.48","0","0","1","0","0","0","0","0","0","1","0","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","T","0","-0.138","0.459","0.79"
"Vireo_gilvus","-0.485","0","0","1","0","0","0","0","0","0","1","0","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","T","0","0.014","0.452","0.342"
"Vireo_plumbeus","-0.477","0","0","1","0","0","0","0","0","0","1","0","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","T","0","1.265","0.436","1.264"
"Vireo_solitarius","-0.479","0","0","1","0","0","0","0","0","0","1","0","0","Foliage gleaner","0","0","1","0","Solitary","1","0","0","WV","0","-0.329","-0.013","0.696"
"Xanthocephalus_xanthocephalus","-0.419","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.455","-0.84","-0.071"
"Zenaida_asiatica","-0.238","0","0","0","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","PR","0","0.061","-1.751","-2.575"
"Zenaida_macroura","-0.305","0","0","0","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","PR","0","-0.003","-1.891","-4.567"
"Zonotrichia_leucophrys","-0.456","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.538","0.83","-1.167"
