"","X","Localities","Richness","PD","ses.PD","NRI","NTI","FD","ses.FD","FNRI","FNTI","bio_1","bio_12","veg_com_Cl","h_dem","HFP","ABS","x_coor","y_coor"
"0",1,"El Chamizal",121,20.3773497627224,-0.621853563582886,1.17851580571336,-0.414303182764099,121,-3.04836231839097,0.936486403810383,2.08380247565646,194,206,54.7798,1128,81,3,362045.251529166,3514628.45721853
"1",2,"Club Campestre",133,21.0858660712154,-1.42204522654873,0.677881633299277,0.204188320496675,133,-1.72246708119365,-0.0034655375972648,1.26410623862078,195,211,31.675,1130,65,3,366242.737581766,3510821.3546116
"2",3,"Parque Central",73,15.0071853586184,-0.126555485703185,-3.65109803653007,1.00950536514054,73,-3.03530131146617,-0.300059282259723,2.4935603313764,195,200,42.7012,1147,78,4,364746.965993864,3506675.14660684
"3",4,"Puerta Juarez",68,11.8526006047454,-3.23466205716995,4.19609770170047,2.45574711547735,68,-5.64491338008016,6.33923430842025,3.99663265826378,189,234,51.3464,1230,60,2,360768.77687008,3490325.03945852
"4",5,"Trepachanga",74,13.0056672724854,-2.84608409737307,4.17172883737052,1.57828789816366,74,-6.57777575754398,6.01765812491356,5.23782457548944,184,261,54.1063,1312,65,3,357218.843911889,3506160.1170607
"5",6,"Zaragoza",53,11.9366530475034,-0.405074906297109,2.60240308294145,-0.98323533351379,53,-2.91249931316621,3.42656651669297,2.06313707993425,195,210,24.5267,1125,65,2,371971.566469831,3504284.78271611
"6",7,"Loma Blanca",107,18.8628497989124,-0.567678822902616,0.748809970831933,0.573398241894914,107,-2.18211307022499,1.16626181653042,1.15171440373891,195,211,43.6145,1119,59,3,376778.24609523,3494583.94646266
