"","Localities","Richness","PD","ses.PD","NRI","NTI"
"1","El Chamizal","121","20.3773497627224","-0.621853563582886","1.17851580571336","-0.414303182764099"
"2","Club Campestre","133","21.0858660712154","-1.42204522654873","0.677881633299277","0.204188320496675"
"3","Parque Central","73","15.0071853586184","-0.126555485703185","-3.65109803653007","1.00950536514054"
"4","Puerta Juarez","68","11.8526006047454","-3.23466205716995","4.19609770170047","2.45574711547735"
"5","Trepachanga","74","13.0056672724854","-2.84608409737307","4.17172883737052","1.57828789816366"
"6","Zaragoza","53","11.9366530475034","-0.405074906297109","2.60240308294145","-0.98323533351379"
"7","Loma Blanca","107","18.8628497989124","-0.567678822902616","0.748809970831933","0.573398241894914"
