"Traits","K","P"
"Body mass","0.27144644075066","0.001001001001001"
"Duration","0.168464555228626","0.014014014014014"
"Mean frequency","0.354450957490102","0.001001001001001"
"Entropy","0.122274112039138","0.002002002002002"
