"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"El Chamizal",121,20.3773497627224,20.8171854312189,0.707297817773017,269,-0.621853563582886,0.269,999
"Club Campestre",133,21.0858660712154,22.0810480987568,0.699824456326669,82,-1.42204522654873,0.082,999
"Parque Central",73,15.0071853586184,15.1116624194625,0.825543517640486,418,-0.126555485703185,0.418,999
"Puerta Juárez",68,11.8526006047454,14.4587408259876,0.80569165346516,1,-3.23466205716995,0.001,999
"Trepachanga",74,13.0056672724854,15.2831160421206,0.800204312914477,4,-2.84608409737307,0.004,999
"Zaragoza",53,11.9366530475034,12.2589414294459,0.795626628390033,334,-0.405074906297109,0.334,999
"Loma Blanca",107,18.8628497989124,19.305203336056,0.779232057454222,300,-0.567678822902616,0.3,999
