"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"El Chamizal",121,0.21955035358311,0.213702092383394,0.014115897350095,664,0.414303182764099,0.664,999
"Club Campestre",133,0.20266492377475,0.2052448675039,0.0126351190061897,417,-0.204188320496675,0.417,999
"Parque Central",73,0.243550358408952,0.267780572650797,0.0240020658418905,161,-1.00950536514054,0.161,999
"Puerta Juárez",68,0.209834033031,0.277221617316492,0.0274407669506282,8,-2.45574711547735,0.008,999
"Trepachanga",74,0.22771012179412,0.266617871447656,0.0246518709918546,58,-1.57828789816366,0.058,999
"Zaragoza",53,0.338869508393909,0.305554343351154,0.033883205685557,839,0.98323533351379,0.839,999
"Loma Blanca",107,0.217863965022956,0.227181470443222,0.0162496232801024,296,-0.573398241894914,0.296,999
