"","FD","ses.FD"
"1",121,-3.04836231839097
"2",133,-1.72246708119365
"3",73,-3.03530131146617
"4",68,-5.64491338008016
"5",74,-6.57777575754398
"6",53,-2.91249931316621
"7",107,-2.18211307022499
