"","Localities","Habitat","Richness","ses.PD","NRI","NTI","ses.FD","FNRI","FNTI","tem","pre","veg","ele","hfp","abs","x_coor","y_coor"
"1","El Chamizal","Urban green spaces","121","-0.621853563582886","1.17851580571336","-0.414303182764099","-3.04836231839097","0.936486403810383","2.08380247565646","0.367466718714427","-0.614434530046269","0.902836014425046","-0.578179677695531","1.5321517493591","0.300019854698702","362045.251529166","3514628.45721853"
"2","Club Campestre","Urban green spaces","133","-1.42204522654873","0.677881633299277","0.204188320496675","-1.72246708119365","-0.0034655375972648","1.26410623862078","0.593659923769295","-0.367978368795359","-0.914019249832843","-0.54897259305804","-0.26273874740853","0.300019854698702","366242.737581766","3510821.3546116"
"3","Parque Central","Urban green spaces","73","-0.126555485703185","-3.65109803653007","1.00950536514054","-3.03530131146617","-0.300059282259723","2.4935603313764","0.593659923769295","-0.914164374551281","0.076669952600432","-0.302779424532472","1.22433035579969","1.45467724285123","364746.965993864","3506675.14660684"
"4","Puerta Juarez","Desert scrub","68","-3.23466205716995","4.19609770170047","2.45574711547735","-5.64491338008016","6.33923430842025","3.99663265826378","-0.781279522335703","0.729820791749317","0.688158478541048","0.849101398624648","-0.915590991605634","-1.32737833082302","360768.77687008","3490325.03945852"
"5","Trepachanga","Desert scrub","74","-2.84608409737307","4.17172883737052","1.57828789816366","-6.57777575754398","6.01765812491356","5.23782457548944","-1.96082689145602","1.95176888294822","0.861805787294556","1.91317348715586","-0.26273874740853","0.300019854698702","357218.843911889","3506160.1170607"
"6","Zaragoza","Agricultural fields","53","-0.405074906297109","2.60240308294145","-0.98323533351379","-2.91249931316621","3.42656651669297","2.06313707993425","0.593659923769295","-0.417034032509278","-1.7623105884213","-0.622087546431998","-0.26273874740853","-1.32737833082302","371971.566469831","3504284.78271611"
"7","Loma Blanca","Agricultural fields","107","-0.567678822902616","0.748809970831933","0.573398241894914","-2.18211307022499","1.16626181653042","1.15171440373891","0.593659923769295","-0.367978368795359","0.146859605393055","-0.710255644062464","-1.05267487132755","0.300019854698702","376778.24609523","3494583.94646266"
