"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"El Chamizal",121,0.046342011117626,0.0523565254110837,0.00288631689602105,22,-2.08380247565646,0.022,999
"Club Campestre",133,0.0469935739699321,0.050094270892733,0.00245287684537011,112,-1.26410623862078,0.112,999
"Parque Central",73,0.0524931541156203,0.0647642238956263,0.00492110402367231,4,-2.4935603313764,0.004,999
"Puerta Juárez",68,0.0449194658000087,0.0663864041125981,0.00537125629201937,1,-3.99663265826378,0.001,999
"Trepachanga",74,0.0383065946910204,0.0640108391886452,0.0049074275259062,1,-5.23782457548944,0.001,999
"Zaragoza",53,0.0602382593895114,0.0734792577131997,0.00641789556906722,28,-2.06313707993425,0.028,999
"Loma Blanca",107,0.051146429698829,0.0549048227911313,0.00326330302035042,127,-1.15171440373891,0.127,999
