"","Localities","Richness","FD","ses.FD","FNRI","FNTI"
"1","El Chamizal","121","121","-3.04836231839097","0.936486403810383","2.08380247565646"
"2","Club Campestre","133","133","-1.72246708119365","-0.0034655375972648","1.26410623862078"
"3","Parque Central","73","73","-3.03530131146617","-0.300059282259723","2.4935603313764"
"4","Puerta Juarez","68","68","-5.64491338008016","6.33923430842025","3.99663265826378"
"5","Trepachanga","74","74","-6.57777575754398","6.01765812491356","5.23782457548944"
"6","Zaragoza","53","53","-2.91249931316621","3.42656651669297","2.06313707993425"
"7","Loma Blanca","107","107","-2.18211307022499","1.16626181653042","1.15171440373891"
