"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"El Chamizal",121,0.250717536564246,0.254787635084674,0.00434613733191154,183,-0.936486403810383,0.183,999
"Club Campestre",133,0.254729436502522,0.254716063831242,0.00385875810180133,504,0.0034655375972648,0.504,999
"Parque Central",73,0.256599004487657,0.254525680474099,0.00690971463353616,619,0.300059282259723,0.619,999
"Puerta Juárez",68,0.208664229639574,0.254984004253206,0.00730684059936182,1,-6.33923430842025,0.001,999
"Trepachanga",74,0.215242619907794,0.254993429209699,0.00660569418813169,1,-6.01765812491356,0.001,999
"Zaragoza",53,0.224611153385286,0.254989509404564,0.00886553810389671,2,-3.42656651669297,0.002,999
"Loma Blanca",107,0.248772282682204,0.254809936984673,0.00517692872808846,124,-1.16626181653042,0.124,999
