"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"El Chamizal",121,0.928217222190913,0.962589699901926,0.029165903031914,127,-1.17851580571336,0.127,999
"Club Campestre",133,0.945122824079791,0.963073150245136,0.0264800302642518,236,-0.677881633299277,0.236,999
"Parque Central",73,1.13456068637041,0.963333327917508,0.0468974967913021,999,3.65109803653007,0.999,999
"Puerta Juárez",68,0.758674151000871,0.963197530979158,0.0487413293297255,1,-4.19609770170047,0.001,999
"Trepachanga",74,0.769176646867863,0.962770658506076,0.0464061829484193,1,-4.17172883737052,0.001,999
"Zaragoza",53,0.819229638744295,0.967827327058028,0.0571001814775657,10,-2.60240308294145,0.01,999
"Loma Blanca",107,0.937562143173628,0.962074997981334,0.032735748404195,235,-0.748809970831933,0.235,999
